Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;28 Madrid;28021 Berrueco, El;De 45 a 49 años;1 de enero de 2021;68
Total;28 Madrid;28021 Berrueco, El;De 50 a 54 años;1 de enero de 2021;57
Total;28 Madrid;28021 Berrueco, El;De 55 a 59 años;1 de enero de 2021;47
Total;28 Madrid;28021 Berrueco, El;De 60 a 64 años;1 de enero de 2021;61
Total;28 Madrid;28021 Berrueco, El;De 65 a 69 años;1 de enero de 2021;48
Total;28 Madrid;28021 Berrueco, El;De 70 a 74 años  ;1 de enero de 2021;42
Total;28 Madrid;28021 Berrueco, El;De 75 a 79 años  ;1 de enero de 2021;37
Total;28 Madrid;28021 Berrueco, El;De 80 a 84 años  ;1 de enero de 2021;20
Total;28 Madrid;28021 Berrueco, El;De 85 a 89 años  ;1 de enero de 2021;24
Total;28 Madrid;28021 Berrueco, El;De 90 a 94 años  ;1 de enero de 2021;13
Total;28 Madrid;28021 Berrueco, El;De 95 a 99 años  ;1 de enero de 2021;4
Total;28 Madrid;28021 Berrueco, El;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28020 Berzosa del Lozoya;De 0 a 4 años;1 de enero de 2021;2
Total;28 Madrid;28020 Berzosa del Lozoya;De 5 a 9 años;1 de enero de 2021;3
Total;28 Madrid;28020 Berzosa del Lozoya;De 10 a 14 años  ;1 de enero de 2021;17
Total;28 Madrid;28020 Berzosa del Lozoya;De 15 a 19 años  ;1 de enero de 2021;12
Total;28 Madrid;28020 Berzosa del Lozoya;De 20 a 24 años;1 de enero de 2021;16
Total;28 Madrid;28020 Berzosa del Lozoya;De 25 a 29 años;1 de enero de 2021;7
Total;28 Madrid;28020 Berzosa del Lozoya;De 30 a 34 años;1 de enero de 2021;9
Total;28 Madrid;28020 Berzosa del Lozoya;De 35 a 39 años;1 de enero de 2021;2
Total;28 Madrid;28020 Berzosa del Lozoya;De 40 a 44 años;1 de enero de 2021;12
Total;28 Madrid;28020 Berzosa del Lozoya;De 45 a 49 años;1 de enero de 2021;11
Total;28 Madrid;28020 Berzosa del Lozoya;De 50 a 54 años;1 de enero de 2021;24
Total;28 Madrid;28020 Berzosa del Lozoya;De 55 a 59 años;1 de enero de 2021;20
Total;28 Madrid;28020 Berzosa del Lozoya;De 60 a 64 años;1 de enero de 2021;19
Total;28 Madrid;28020 Berzosa del Lozoya;De 65 a 69 años;1 de enero de 2021;19
Total;28 Madrid;28020 Berzosa del Lozoya;De 70 a 74 años  ;1 de enero de 2021;11
Total;28 Madrid;28020 Berzosa del Lozoya;De 75 a 79 años  ;1 de enero de 2021;8
Total;28 Madrid;28020 Berzosa del Lozoya;De 80 a 84 años  ;1 de enero de 2021;6
Total;28 Madrid;28020 Berzosa del Lozoya;De 85 a 89 años  ;1 de enero de 2021;3
Total;28 Madrid;28020 Berzosa del Lozoya;De 90 a 94 años  ;1 de enero de 2021;7
Total;28 Madrid;28020 Berzosa del Lozoya;De 95 a 99 años  ;1 de enero de 2021;7
Total;28 Madrid;28020 Berzosa del Lozoya;100 y más años;1 de enero de 2021;1
Total;28 Madrid;28024 Braojos;De 0 a 4 años;1 de enero de 2021;8
Total;28 Madrid;28024 Braojos;De 5 a 9 años;1 de enero de 2021;4
Total;28 Madrid;28024 Braojos;De 10 a 14 años  ;1 de enero de 2021;8
Total;28 Madrid;28024 Braojos;De 15 a 19 años  ;1 de enero de 2021;12
Total;28 Madrid;28024 Braojos;De 20 a 24 años;1 de enero de 2021;16
Total;28 Madrid;28024 Braojos;De 25 a 29 años;1 de enero de 2021;16
Total;28 Madrid;28024 Braojos;De 30 a 34 años;1 de enero de 2021;8
Total;28 Madrid;28024 Braojos;De 35 a 39 años;1 de enero de 2021;13
Total;28 Madrid;28024 Braojos;De 40 a 44 años;1 de enero de 2021;23
Total;28 Madrid;28024 Braojos;De 45 a 49 años;1 de enero de 2021;15
Total;28 Madrid;28024 Braojos;De 50 a 54 años;1 de enero de 2021;19
Total;28 Madrid;28024 Braojos;De 55 a 59 años;1 de enero de 2021;24
Total;28 Madrid;28024 Braojos;De 60 a 64 años;1 de enero de 2021;11
Total;28 Madrid;28024 Braojos;De 65 a 69 años;1 de enero de 2021;10
Total;28 Madrid;28024 Braojos;De 70 a 74 años  ;1 de enero de 2021;9
Total;28 Madrid;28024 Braojos;De 75 a 79 años  ;1 de enero de 2021;6
Total;28 Madrid;28024 Braojos;De 80 a 84 años  ;1 de enero de 2021;5
